Region;project;bp_from;bp_to;km from;km to;distance;Bemerkungen;date from;date to;amount of weeks;"Umsetzung / 
Intervalltyp / Umleitung";reduction of capacity;bis_geopos;von Betriebspunkt
RWT;La Plaine : prèparation nouvelle gare;LP;LP;;;;;2024-07-15;2024-07-28;2.0;Sperre Strecke 24 Std;1.0;46.1786654048,5.99999275337;La Plaine
RWT;RIM Vernier Meyrin Cargo - Satgny;;;;;;;2026-07-01;2026-08-25;8.0;Sperre Strecke 24 Std;0.5;;
RWT;Genève Aéroport : remise en conformité zone d'enraillement;GEAP;CHNE;65.5;65.5;;;2023-10-01;2024-03-30;26.0;Sperre Strecke 24 Std;0.5;46.2171294664,6.10260397474;Châtelaine (bif)
RWT;Genéve : assainissement du PI de la Paix;GE;GE;58.75;58.75;;;2023-01-01;2024-12-28;104.0;Sperre Strecke Nacht;0.25;46.2102129079,6.14245160789;Genève
RWT;Morges - St.Prex : FbE voie 309;MOR;STP;13.1;16.6;3.5;;2024-07-01;2024-07-28;4.0;Sperre Strecke 24 Std;0.5;46.4823168698,6.45590595285;St-Prex
RWT;Lausanne : ZEB;LS;LS;;;;;2021-01-01;2027-11-25;360.0;Sperre Strecke 24 Std;0.25;46.5167918174,6.62909229044;Lausanne
RWT;Rose : Wako lot 5.2;ROS;ROS;;;;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof 24 Std;0.5;46.7826334225,7.06196863764;Rosé
RWT;Fribourg : Wako lot 5.3;FRI;FRI;;;;;2024-01-01;2024-12-29;52.0;Sperre Bahnhof Nacht;0.25;46.8031481543,7.15104693583;Fribourg/Freiburg
RWT;FbE23 Roche - Aigle V123;ROC;AIG;34.366;38.626;-4.26;;2023-07-03;2024-07-14;54.0;Sperre Strecke Nacht;0.5;46.3168554187,6.96368323783;Aigle
RWT;St-Triphon, voie de dépassement;ST;AIG;42.695;41.065;1.63;EP en cours, Jacques Nicolier;2024-01-01;2027-12-26;208.0;Sperre Strecke Nacht;0.5;46.3168554187,6.96368323783;Aigle
RWT;Tunnel des Epoisats & renouvellement VF Le Day Le Pont V319;PT;DAY;11.413;3.246;8.167;AP terminé;;1899-12-29;;;;46.7173763767,6.40066878869;Le Day
RWT;Cornaux, FS23 renouvel LC + poste distribution;CORN;CORN;;;;pas de CPr;2023-01-01;2023-12-30;52.0;Sperre Bahnhof Nacht;0.25;47.0385720221,7.02336560983;Cornaux
ROT;EdV: Furttal 320 m;ZSEB;WE;;;;Umsetzungszeitraum offen;2027-06-01;2029-04-30;100.0;Umsetzung;;47.4596382122,8.31600613226;Wettingen
ROT;Ph 1: WUER + ZAF+OF;ZSEB;WUER;;;;Perronverlängerung;2028-01-01;2028-07-28;30.0;Sperre Strecke Nacht;0.25;47.4457594532,8.35766785904;Würenlos
ROT;Verlängerung 750m Ausfahrt WUER;WUER;WUER;;;;Studie startet 2021 (Regio RaPla);2029-01-01;2034-10-01;300.0;Umsetzung;;47.4457594532,8.35766785904;Würenlos
ROT;AS25 DT Regionalterminal;DT;DT;;;;;2024-01-01;2024-10-06;40.0;Umsetzung;;47.405783798,8.40498813474;Dietikon
ROT;ZAS PU West;ZAS;ZAS;;;;;2025-01-01;2026-12-01;100.0;Umsetzung;;47.3914830997,8.48896269022;Zürich Altstetten
ROT;Stw Ersatz WE;WE;WE;;;;Stw. Ersatz DO 55: 2024;2024-01-01;2024-12-29;52.0;Umsetzung;;47.4596382122,8.31600613226;Wettingen
