Abbreviation of the operating point;Name of the operating point;Abkuerzung Betriebspunkt Strecke;Name of operating point distance;LINIE;Kilometry of the operating point;LINIENNAME;VERWALTUNG;E;N;geopos;BPUIC;Didok Nummer;Name Haltestelle;lod
AE;Aesch;AE;Aesch;230;113.00006;Delemont Est - Basel SBB Ost;SBB;2612398.052;1257453.914;47.4677446264,7.60306818359;8500117;117;Aesch;http://lod.opentransportdata.swiss/didok/8500117
AGIP;Monthey Agip (embr);AGIP;Monthey Agip (embr);131;10.087;Les Paluds - St-Gingolph (Frontiere);SBB;2561259.292;1126489.38;46.2886970207,6.9359399583;8501435;1435;Monthey Agip (embr);http://lod.opentransportdata.swiss/didok/8501435
AI;Airolo;AI;Airolo;600;86.20893;Immensee - Bellinzona - Chiasso;SBB;2689765.163;1153582.904;46.5275259222,8.60861971573;8505201;5201;Airolo;http://lod.opentransportdata.swiss/didok/8505201
AIG;Aigle;AIG;Aigle;125;0.0;Aigle - Aigle-Depot;SBB;2563416.288;1129606.2;46.3168554187,6.96368323783;8501400;1400;Aigle;http://lod.opentransportdata.swiss/didok/8501400
AIG;Aigle;AIG;Aigle;129;0.0;Aigle - Ollon - Monthey-Ville;SBB;2563416.288;1129606.2;46.3168554187,6.96368323783;8501400;1400;Aigle;http://lod.opentransportdata.swiss/didok/8501400
ALG;Algetshausen-Henau;ALG;Algetshausen-Henau;850;103.23323;St.Gallen - Winterthur Nord;SBB;2726042.31;1256648.65;47.4485483457,9.10994218777;8506220;6220;Algetshausen-Henau;http://lod.opentransportdata.swiss/didok/8506220
ALME;Al Motto Est;ALM;Al Motto (c bin);600;160.82823;Immensee - Bellinzona - Chiasso;SBB;2716710.005;1111402.033;46.143996775,8.94915179584;8515373;15373;Al Motto Est;http://lod.opentransportdata.swiss/didok/8515373
ALME;Al Motto Est;ALM;Al Motto (c bin);606;160.92853;Al Sasso - Al Motto (binario sinistro);SBB;2716710.005;1111402.033;46.143996775,8.94915179584;8515373;15373;Al Motto Est;http://lod.opentransportdata.swiss/didok/8515373
ALTD;Altendorf;ALTD;Altendorf;720;37.17886;ZH Langstrasse - Thalwil - Ziegelbrucke;SBB;2704897.317;1227927.044;47.1939670295,8.82290588686;8503211;3211;Altendorf;http://lod.opentransportdata.swiss/didok/8503211
AN;Andelfingen;AN;Andelfingen;762;39.16548;Winterthur Nord - Schaffhausen RB Ost;SBB;2693215.688;1272188.772;47.5937661665,8.67800163738;8506047;6047;Andelfingen;http://lod.opentransportdata.swiss/didok/8506047
ARBS;Arbon Seemoosriet;ARBS;Arbon Seemoosriet;825;88.8155;Romanshorn Feld H - Rorschach;SBB;2749594.675;1265277.344;47.5211952211,9.42501958421;8516270;16270;Arbon Seemoosriet;http://lod.opentransportdata.swiss/didok/8516270
ARCY;Archy (bif);ARCY;Archy (bif);168;6.3254;Archy A - Lausanne-Triage Nord;SBB;2532512.118;1154928.645;46.5422333431,6.55879213892;8501147;1147;Archy (bif);http://lod.opentransportdata.swiss/didok/8501147
BACH;Bachtele (Trimstein);BACH;Bachtele (Trimstein);460;15.30001;Gumligen Sud - Fluhmuhle;SBB;2610527.014;1194229.592;46.8990944341,7.57678370515;8516278;16278;Bachtele (Trimstein);http://lod.opentransportdata.swiss/didok/8516278
BASM;Balerna per Smistamento (bif);BAL;Balerna;600;203.05052;Immensee - Bellinzona - Chiasso;SBB;2721290.915;1078708.43;45.8491526577,9.00000324647;8505347;5347;Balerna per Smistamento (bif);http://lod.opentransportdata.swiss/didok/8505347
BASM;Balerna per Smistamento (bif);BAL;Balerna;638;203.05052;Balerna SM - Chiasso Smistamento;SBB;2721290.915;1078708.43;45.8491526577,9.00000324647;8505347;5347;Balerna per Smistamento (bif);http://lod.opentransportdata.swiss/didok/8505347
BDO;Baden Oberstadt;BDO;Baden Oberstadt;703;44.21258;ZH Oerlikon Nord - Wettingen - Gruemet;SBB;2665262.202;1258010.264;47.4696306679,8.30429427217;8502109;2109;Baden Oberstadt;http://lod.opentransportdata.swiss/didok/8502109
BEL;Bellinzona;BEL;Bellinzona;600;150.89101;Immensee - Bellinzona - Chiasso;SBB;2722802.787;1117241.402;46.1954317737,9.0295185506;8505213;5213;Bellinzona;http://lod.opentransportdata.swiss/didok/8505213
BELE;Bellach Industrie;BELE;Bellach Industrie;410;77.62888;Olten - Solothurn - Biel/Bienne;SBB;2604301.598;1228611.892;47.2084314348,7.49540634381;8519032;19032;Bellach Industrie;http://lod.opentransportdata.swiss/didok/8519032
BET;Bettlach;BET;Bettlach;410;82.92457;Olten - Solothurn - Biel/Bienne;SBB;2599222.87;1227111.559;47.1949494237,7.42837301675;8500203;203;Bettlach;http://lod.opentransportdata.swiss/didok/8500203
BEX;Bex;BEX;Bex;100;47.56;Lausanne - Simplon Tunnel I - Iselle;SBB;2566224.453;1122320.503;46.2514645551,7.00066986367;8501402;1402;Bex;http://lod.opentransportdata.swiss/didok/8501402
BF;Belfaux CFF;BF;Belfaux CFF;253;44.44635;Payerne Est - Fribourg Nord;SBB;2574632.215;1185139.78;46.8169246104,7.10623020162;8504139;4139;Belfaux CFF;http://lod.opentransportdata.swiss/didok/8504139
BG;Brugg AG;BG;Brugg AG;700;31.27262;Brugg - Pratteln Ost;SBB;2658054.322;1259183.737;47.4808598621,8.20884452735;8500309;309;Brugg AG;http://lod.opentransportdata.swiss/didok/8500309
BG;Brugg AG;BG;Brugg AG;710;31.26561;Zurich HB - Brugg AG;SBB;2658054.322;1259183.737;47.4808598621,8.20884452735;8500309;309;Brugg AG;http://lod.opentransportdata.swiss/didok/8500309
BI;Biel/Bienne;BI;Biel/Bienne;410;99.3685;Olten - Solothurn - Biel/Bienne;SBB;2585151.205;1220231.592;47.1328978528,7.24291053739;8504300;4300;Biel/Bienne;http://lod.opentransportdata.swiss/didok/8504300
BIA;Biasca;BIA;Biasca;600;131.795;Immensee - Bellinzona - Chiasso;SBB;2718190.974;1134556.101;46.3519841441,8.97417916465;8505209;5209;Biasca;http://lod.opentransportdata.swiss/didok/8505209
BIAE;Biel/Bienne Aebistrasse;BI;Biel/Bienne;260;33.06921;Zollikofen Nord - Biel/Bienne Aebistr.;SBB;2585613.313;1219980.517;47.1306497899,7.24900952346;8515304;15304;Biel/Bienne Aebistrasse;http://lod.opentransportdata.swiss/didok/8515304
BIAE;Biel/Bienne Aebistrasse;BI;Biel/Bienne;410;98.84323;Olten - Solothurn - Biel/Bienne;SBB;2585613.313;1219980.517;47.1306497899,7.24900952346;8515304;15304;Biel/Bienne Aebistrasse;http://lod.opentransportdata.swiss/didok/8515304
BIHW;Biel/Bienne IW;BIRB;Biel/Bienne RB;267;97.196;Biel Produktion Ost - Biel Madretsch;SBB;2586520.394;1221150.596;47.1411936479,7.26092985008;8515002;15002;Biel/Bienne IW;http://lod.opentransportdata.swiss/didok/8515002
BIM;Biel Mett;BIM;Biel Mett;410;96.25;Olten - Solothurn - Biel/Bienne;SBB;2587397.928;1221541.296;47.1447253199,7.27248728258;8504419;4419;Biel Mett;http://lod.opentransportdata.swiss/didok/8504419
BIPO;Biel Produktionsanlage Ost;BIPO;Biel Produktionsanlage Ost;265;96.47373;Biel Mett Abzweigung - Biel/Bienne Ost;SBB;2587151.224;1221492.514;47.1442816883,7.26923614405;8519667;19667;Biel Produktionsanlage Ost;http://lod.opentransportdata.swiss/didok/8519667
BIRW;Biel/Bienne RB West;BIRB;Biel/Bienne RB;265;97.35872;Biel Mett Abzweigung - Biel/Bienne Ost;SBB;2586524.892;1220870.722;47.138676275,7.26099757686;8504341;4341;Biel/Bienne RB West;http://lod.opentransportdata.swiss/didok/8504341
BN;Bern;BN;Bern;250;97.10255;Lausanne Est - Bern;SBB;2600037.945;1199749.812;46.9488322725,7.4391309556;8507000;7000;Bern;http://lod.opentransportdata.swiss/didok/8507000
BNAS;Bern Europaplatz;BNAS;Bern Europaplatz;250;94.111;Lausanne Est - Bern;SBB;2597524.448;1199236.474;46.9442097969,7.40611758136;8504108;4108;Bern Europaplatz;http://lod.opentransportdata.swiss/didok/8504108
BNHB;Bern Henkerbrunnli;BN;Bern;220;-0.40001;Bern - Neuchatel Est (bif);SBB;2600016.523;1200271.186;46.9535221735,7.43884939623;8516765;16765;Bern Henkerbrünnli;http://lod.opentransportdata.swiss/didok/8516765
BNWF;Bern Wylerfeld;BNWF;Bern Wylerfeld;290;108.58293;Bern Wylerfeld - Thun;SBB;2601687.709;1201729.087;46.9666342489,7.46080853106;8507001;7001;Bern Wylerfeld;http://lod.opentransportdata.swiss/didok/8507001
BNZ;Benzenschwil;BNZ;Benzenschwil;653;85.40633;Gexi Ost - Rotkreuz - Immensee West;SBB;2670177.597;1233295.845;47.2468514591,8.36561693375;8502216;2216;Benzenschwil;http://lod.opentransportdata.swiss/didok/8502216
BOLE;Bole;BOLE;Bole;219;8.3;Auvernier - Les Verrieres frontiere;SBB;2554320.86;1202214.307;46.9694229453,6.83837449636;8504218;4218;Bôle;http://lod.opentransportdata.swiss/didok/8504218
BON;Bonstetten-Wettswil;BON;Bonstetten-Wettswil;711;18.05825;ZH Hardbrucke - Kollermuhle;SBB;2677827.677;1242180.589;47.3259013406,8.46819694029;8502222;2222;Bonstetten-Wettswil;http://lod.opentransportdata.swiss/didok/8502222
BOS;Boswil-Bunzen;BOS;Boswil-Bunzen;653;77.7545;Gexi Ost - Rotkreuz - Immensee West;SBB;2666294.854;1239736.742;47.3051816658,8.31528353446;8502214;2214;Boswil-Bünzen;http://lod.opentransportdata.swiss/didok/8502214
BRBT;Basel SBB RB Gr T;BSRB;Basel SBB RB;511;5.88503;Basel SBB - Basel GB - Basel RB;SBB;2616761.755;1264525.266;47.531247135,7.66121221912;8515379;15379;Basel SBB RB Gr T;http://lod.opentransportdata.swiss/didok/8515379
BRIT;Brittnau-Wikon;BRIT;Brittnau-Wikon;500;50.476;Basel SBB - Olten - Luzern;SBB;2639235.44;1234769.311;47.262666146,7.95704084842;8502002;2002;Brittnau-Wikon;http://lod.opentransportdata.swiss/didok/8502002
BRLO;Brig-Lotschberg (Abzw);BR;Brig;100;145.246;Lausanne - Simplon Tunnel I - Iselle;SBB;2642015.78;1129941.936;46.3195659116,7.9841556002;8515310;15310;Brig-Lötschberg (Abzw);http://lod.opentransportdata.swiss/didok/8515310
BRT;Bretonnieres;BRT;Bretonnieres;200;35.82299;Renens VD Ouest - Vallorbe;SBB;2526301.137;1174215.047;46.7150553572,6.47473254302;8501105;1105;Bretonnières;http://lod.opentransportdata.swiss/didok/8501105
BRTU;Brig Tunnel;BRTU;Brig Tunnel;107;147.13536;Brig-Lotschberg (Abzw) Brig Tunnel;SBB;2643766.775;1130510.42;46.3245679148,8.00694223311;8501610;1610;Brig Tunnel;http://lod.opentransportdata.swiss/didok/8501610
BRUA;Brunnen Sud (Abzw);BRU;Brunnen;600;21.45;Immensee - Bellinzona - Chiasso;SBB;2689124.64;1205166.085;46.9915718373,8.61031087812;8515380;15380;Brunnen Süd (Abzw);http://lod.opentransportdata.swiss/didok/8515380
BSAS;Basel SBB RB I (Abzw);BSRB;Basel SBB RB;529;7.42603;Basel SBB RB II - Schweizerhalle;SBB;2618038.563;1263807.778;47.5247604937,7.6781387218;8515381;15381;Basel SBB RB I (Abzw);http://lod.opentransportdata.swiss/didok/8515381
BSD;Bassersdorf;BSD;Bassersdorf;9784;14.753;Bassersdorf - Baltenswil (Abzw);SBB;2689582.648;1254874.74;47.4385705613,8.62622097081;8503307;3307;Bassersdorf;http://lod.opentransportdata.swiss/didok/8503307
BSGB;Basel SBB GB;BSGB;Basel SBB GB;513;121.71765;Basel SBB GB Verbindungslinie;SBB;2612814.716;1265750.769;47.5423574701,7.60883234646;8500040;40;Basel SBB GB;http://lod.opentransportdata.swiss/didok/8500040
BSO;Basel SBB Ost (Abzw);BS;Basel SBB;230;122.46443;Delemont Est - Basel SBB Ost;SBB;2611819.423;1266035.449;47.5449363773,7.5956199098;8515387;15387;Basel SBB Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515387
BSOS;Basel SBB RB II Ost (Abzw);BSRB;Basel SBB RB;522;7.02762;Umfahrung Nord: Gellert - Pratteln;SBB;2617712.723;1263996.845;47.526469693,7.67381973302;8515388;15388;Basel SBB RB II Ost (Abzw);http://lod.opentransportdata.swiss/didok/8515388
BSSJ;Basel St. Johann;BSSJ;Basel St. Johann;510;137.81135;Mulhouse-Ville - Basel SBB;SBB;2610076.296;1268853.095;47.5703062762,7.57252943676;8500016;16;Basel St Johann;http://lod.opentransportdata.swiss/didok/8500016
BU;Buchs SG;BU;Buchs SG;880;15.86893;Sargans Ost - St.Gallen;SBB;2754651.563;1226171.291;47.1684119711,9.47863664902;8509404;9404;Buchs SG;http://lod.opentransportdata.swiss/didok/8509404
BUDZ;Burgau Deponie ZAB (Agl);BUDZ;Burgau Deponie ZAB (Agl);850;93.21929;St.Gallen - Winterthur Nord;SBB;2734055.841;1252250.981;47.4074212588,9.21484598227;8506219;6219;Burgau Deponie ZAB (Agl);http://lod.opentransportdata.swiss/didok/8506219
BURB;Buchs SG RB;BU;Buchs SG;884;19.35133;Buchs - Buchs RB;SBB;2754508.515;1226979.672;47.1757141306,9.47702767824;8516703;16703;Buchs SG RB;http://lod.opentransportdata.swiss/didok/8516703
BURE;Bure-Casernes;BURE;Bure-Casernes;241;4.935;Courtemaiche - Bure-Casernes;SBB;2567791.714;1255980.863;47.4538189462,7.01152971988;8500131;131;Bure-Casernes;http://lod.opentransportdata.swiss/didok/8500131
BURI;Burier;BURI;Burier;100;21.5267;Lausanne - Simplon Tunnel I - Iselle;SBB;2556853.521;1144216.064;46.4478864389,6.87712181217;8501202;1202;Burier;http://lod.opentransportdata.swiss/didok/8501202
BYE;Bussigny Est (bif);BY;Bussigny;206;6.33829;Renens VD Ouest - Bussigny Est;SBB;2532488.449;1155231.902;46.5449587809,6.55843914447;8515312;15312;Bussigny Est (bif);http://lod.opentransportdata.swiss/didok/8515312
