PID;ISB;Strecke;Strecke_Bezeichnung;Strecke_Art;BP_Von_Abschnitt;BP_Von_Abschnitt_Bezeichnung;BP_Bis_Abschnitt;BP_Bis_Abschnitt_Bezeichnung;In_Richtung;Geschaeftscode;Jahr;Anzahl_Zuege;Gesamtbelastung_Bruttotonnen;BPUIC;Didok Nummer;Name Haltestelle;lod;geopos;tu-nummer;geopos_von;geopos_bis;geoshape;geo_point_2d
SBB_ALL_ETOY;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;ALL;Allaman;ETOY;Etoy;True;PERSONENVERKEHR;2019;60307.0;23723517.0;8501042;1042;Etoy;http://lod.opentransportdata.swiss/didok/8501042;46.4751727321, 6.42713532969;11;6.39969709242, 46.4757535389;6.42713532969, 46.4751727321;"{""type"": ""LineString"", ""coordinates"": [[6.39969709242, 46.4757535389], [6.42713532969, 46.4751727321]]}";46.4754631355,6.41341621105
SBB_ALL_ETOY;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;ALL;Allaman;ETOY;Etoy;True;GUETERVERKEHR;2019;5518.0;3003485.0;8501042;1042;Etoy;http://lod.opentransportdata.swiss/didok/8501042;46.4751727321, 6.42713532969;11;6.39969709242, 46.4757535389;6.42713532969, 46.4751727321;"{""type"": ""LineString"", ""coordinates"": [[6.39969709242, 46.4757535389], [6.42713532969, 46.4751727321]]}";46.4754631355,6.41341621105
SBB_DENA_DENB;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;DENA;Denges A (bif);DENB;Denges B (bif);True;PERSONENVERKEHR;2019;60280.0;23710527.0;8515323;15323;Denges B (bif);http://lod.opentransportdata.swiss/didok/8515323;46.5307684847, 6.5443417258;11;6.54181125414, 46.5295507619;6.5443417258, 46.5307684847;"{""type"": ""LineString"", ""coordinates"": [[6.54181125414, 46.5295507619], [6.5443417258, 46.5307684847]]}";46.5301596233,6.54307648997
SBB_ETOY_STP;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;ETOY;Etoy;STP;St-Prex;True;PERSONENVERKEHR;2019;60307.0;23723517.0;8501036;1036;St-Prex;http://lod.opentransportdata.swiss/didok/8501036;46.4823168698, 6.45590595285;11;6.42713532969, 46.4751727321;6.45590595285, 46.4823168698;"{""type"": ""LineString"", ""coordinates"": [[6.42713532969, 46.4751727321], [6.45590595285, 46.4823168698]]}";46.4787448009,6.44152064127
SBB_ETOY_STP;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;ETOY;Etoy;STP;St-Prex;True;GUETERVERKEHR;2019;5518.0;3003485.0;8501036;1036;St-Prex;http://lod.opentransportdata.swiss/didok/8501036;46.4823168698, 6.45590595285;11;6.42713532969, 46.4751727321;6.45590595285, 46.4823168698;"{""type"": ""LineString"", ""coordinates"": [[6.42713532969, 46.4751727321], [6.45590595285, 46.4823168698]]}";46.4787448009,6.44152064127
SBB_ETOY_STP;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;ETOY;Etoy;STP;St-Prex;False;PERSONENVERKEHR;2019;60971.0;23779387.0;8501036;1036;St-Prex;http://lod.opentransportdata.swiss/didok/8501036;46.4823168698, 6.45590595285;11;6.42713532969, 46.4751727321;6.45590595285, 46.4823168698;"{""type"": ""LineString"", ""coordinates"": [[6.42713532969, 46.4751727321], [6.45590595285, 46.4823168698]]}";46.4787448009,6.44152064127
SBB_FOU_CEL;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;FOU;Founex;CEL;Céligny;True;GUETERVERKEHR;2019;5282.0;2938901.0;8501024;1024;Céligny;http://lod.opentransportdata.swiss/didok/8501024;46.3479745705, 6.20008722493;11;6.19438330424, 46.3287835847;6.20008722493, 46.3479745705;"{""type"": ""LineString"", ""coordinates"": [[6.19438330424, 46.3287835847], [6.20008722493, 46.3479745705]]}";46.3383790776,6.19723526459
SBB_FUBI_SJ;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;FUBI;Furet (bif);SJ;St-Jean (bif);False;PERSONENVERKEHR;2019;57771.0;22490819.0;8501039;1039;St-Jean (bif);http://lod.opentransportdata.swiss/didok/8501039;46.2055529538, 6.12772249048;11;6.11551600358, 46.2087541607;6.12772249048, 46.2055529538;"{""type"": ""LineString"", ""coordinates"": [[6.11551600358, 46.2087541607], [6.12772249048, 46.2055529538]]}";46.2071535573,6.12161924703
SBB_GESE_CHY;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;GESE;Genève-Sécheron;CHY;Chambésy;True;GUETERVERKEHR;2019;5282.0;2938901.0;8501020;1020;Chambésy;http://lod.opentransportdata.swiss/didok/8501020;46.2409448637, 6.14730428549;11;6.14456120159, 46.2224403361;6.14730428549, 46.2409448637;"{""type"": ""LineString"", ""coordinates"": [[6.14456120159, 46.2224403361], [6.14730428549, 46.2409448637]]}";46.2316925999,6.14593274354
SBB_GESE_CHY;SBB;1.0;Genève Aéroport - Lausanne;STRECKE;GESE;Genève-Sécheron;CHY;Chambésy;False;PERSONENVERKEHR;2019;68312.0;25076367.0;8501020;1020;Chambésy;http://lod.opentransportdata.swiss/didok/8501020;46.2409448637, 6.14730428549;11;6.14456120159, 46.2224403361;6.14730428549, 46.2409448637;"{""type"": ""LineString"", ""coordinates"": [[6.14456120159, 46.2224403361], [6.14730428549, 46.2409448637]]}";46.2316925999,6.14593274354
